code,config,d_param_max,d_param_rel_max,d_param_span_max,d_crit_calib,d_nse_cal,d_kge_cal,d_nse_val,d_kge_val,nse_cal_R,nse_val_R,kge_cal_R,kge_val_R,n_runs_R,n_runs_HS,n_iter_R,n_iter_HS
B134001001,CemaNeigeGR4J_NSE,1.985945767955389e-15,1.985945767955389e-15,2.7695375399501897e-16,2.4260203700277453e-15,2.4260203700277453e-15,7.624186411464923e-15,5.137383145409162e-16,2.501819608813005e-15,0.869499602249289,0.864426882871111,0.888273198570994,0.798779191467537,1062,1062,30,30
B413201001,GR4J_NSE,3.3040169156459763e-16,3.3040169156459763e-16,2.606623567011943e-18,2.138609055206778e-15,2.138609055206778e-15,2.206693589475565e-15,3.766665516916153e-15,4.529378759395582e-15,0.830613166569847,0.795823826943392,0.90560894084086,0.759859477240375,241,241,22,22
B413201001,GR4J_KGE,2.1416086517590525e-15,2.1416086517590525e-15,2.606623567011943e-18,2.185138687577038e-15,6.697895283104987e-16,2.185138687577038e-15,4.320262632663873e-15,8.614396603513436e-15,0.828784997150988,0.796639387225364,0.91454215500673,0.773279714685306,376,376,37,37
B413201001,GR5J_NSE,8.654025065024285e-16,8.654025065024285e-16,5.551115123125783e-17,5.124177254458048e-16,5.124177254458048e-16,8.545430963637585e-16,5.170588094162578e-16,2.4280802864020805e-15,0.866654660440764,0.858875628386304,0.90944051920208,0.823037629981546,617,617,39,39
B413201001,GR6J_NSE,0.0,0.0,0.0,2.5371552164363546e-16,2.5371552164363546e-16,2.411703013929903e-15,6.568426114532943e-16,1.3189389071933616e-15,0.875171544439096,0.845121042138799,0.920696303162165,0.841754700365658,989,989,24,24
B413201001,CemaNeigeGR4J_NSE,1.781082611875332e-15,1.781082611875332e-15,9.774838376294786e-17,8.942431225712718e-16,8.942431225712718e-16,6.006579034016064e-16,3.8178164741848667e-16,1.5940190458310401e-15,0.86906580282441,0.872401566810933,0.924172493475749,0.905440832584435,1532,1534,67,67
B422431001,GR4J_NSE,1.663926056791008e-16,1.663926056791008e-16,1.0426494268047772e-17,1.7505982305929682e-15,1.7505982305929682e-15,6.4756488149985245e-15,1.0526034225090644e-14,1.6796540607916528e-14,0.697615995346921,0.706675857775343,0.822940012722411,0.654373314145931,225,225,20,20
B422431001,GR4J_KGE,1.9819616950628013e-16,1.9819616950628013e-16,1.0426494268047772e-17,2.4932865380730283e-15,8.053419157258986e-16,2.4932865380730283e-15,4.752621221264169e-15,1.0172338088288376e-14,0.68928675072404,0.747527209386045,0.846041445528397,0.731247251165653,341,341,34,34
B422431001,GR5J_NSE,1.0405384948998666e-15,1.0405384948998666e-15,1.3033117835059715e-17,5.784469488166933e-16,5.784469488166933e-16,1.5982722619738462e-15,9.317509589031763e-16,3.3652444030848345e-15,0.767726773835559,0.834081371005456,0.833567384761376,0.758789749207255,492,492,27,27
B422431001,GR6J_NSE,7.776621221749681e-16,7.776621221749681e-16,6.5165589175298575e-18,1.6516402165533412e-15,1.6516402165533412e-15,5.610886206402059e-15,1.3147253623261322e-16,4.3636836139365357e-16,0.806633076742571,0.84445242819447,0.850838678645996,0.763270064593622,1498,1497,66,66
